"公司名","分类","总部","规模"
"Go Voyages","OTA/机票","法国巴黎","10-17名员工（法国主体SAS，Dana Dunne任总裁）/法国主体年营收约236万€（2024）/隶属eDreams ODIGEO集团（西班牙，集团含700家航司+210万家酒店合作/Prime会员580万+/集团年营收约6亿€+）"
"Tripadvisor","点评+OTA","美国马萨诸塞州","约5,700名员工（2024）/年营收约15亿美元（2023）/旗下Tripadvisor+Viator+TheFork/全球最大旅游点评平台/8亿+评价内容/覆盖140+国"
"Expedia Group","综合OTA","美国西雅图","约17,000名员工/2024年全年营收约134亿美元/全年GMV约1,050亿美元/年预订客房夜3.3亿+/旗下Expedia/Hotels.com/Vrbo/Orbitz等多品牌/190+国市场"
"Trafalgar","跟团游运营商","英国伦敦（母公司TTC集团）","250-500名员工/年营收估计约1-1.5亿美元/成立1947年/全球350+旅行线路/50+国目的地/属The Travel Corporation(TTC)集团"
"Authentic Europe","精品法国游旅行社","法国/欧洲","小型精品机构/规模未公开披露/专注法国及欧洲定制游/员工估计10-50人"
"France Just for You","法国专项旅行社","法国","小型专业机构/规模未公开披露/专注为英语市场旅客提供法国定制游/员工估计5-20人"
"Opodo","欧洲OTA","西班牙巴塞罗那（eDreams ODIGEO旗下）","即eDreams ODIGEO旗下Opodo品牌/集团共约1,500+员工/集团年GMV约60亿€/覆盖44国/Prime会员580万+"
"Lastminute.com","综合OTA","瑞士基亚索","约1,000名员工/2024年营收约3.5亿€/动态假期套餐(DP)为核心/欧洲多语言市场/上市公司(SIX: LMN)/主要市场：意大利/英国/西班牙/法国/德国"
"Selectour","旅行社联盟/合作社","法国图卢兹（总部）","法国最大旅行社网络联盟/1000+家加盟门店(700+门店使用Selectour品牌)/2024年集团总GMV约27亿€/成立1971年/合作社模式/旅游+商务差旅双线"
"Le Guide du Routard","旅游指南/媒体","法国巴黎（Hachette旗下）","Hachette Livre旗下旅游指南品牌/1973年创立/累计销售超3000万册/网站月均访问数百万/覆盖200+目的地/无独立财务披露/员工估计50-100人（编辑团队）"
"Layla","AI旅游规划工具","德国柏林","约24-26名员工/2023年成立/融资额约€300万Seed+后续轮次/处理消息量20M+/白标B2B合作/Premium订阅$49/年/投资方含firstminute capital/M13/Paris Hilton等"
"Oracle OPERA Cloud","酒店PMS","美国德克萨斯州（Oracle总部）","Oracle Hospitality事业部/Oracle集团年营收约530亿美元(2024)/全球PMS市场份额10%+（最大单一供应商）/酒店PMS市场2023年规模约10亿美元/服务覆盖全球5大洲500+酒店集团"
"Cloudbeds","酒店PMS","美国圣地亚哥","约700名员工/2024年营收约8,500万美元/融资累计约2.5亿美元(Series D)/覆盖150国/10,000+独立酒店客户/2012年成立/专注独立酒店及精品物业"
"Mews","酒店PMS","荷兰阿姆斯特丹","约1,400名员工/2024年营收约2亿美元/估值12亿美元(2024 Series C)/融资累计约2.7亿美元/覆盖85国/5,500+酒店客户/1000+集成/年处理支付GPV约80亿美元/2012年成立"
"VEGA / Groupe QuatuHoRe","法国酒店PMS","法国","法国本土PMS供应商/专注法国独立酒店及小型连锁/规模较小/员工估计50-150人/客户主要为法国中小型酒店/具体数据未公开披露"
"D-EDGE","酒店分销/CRS","法国巴黎（前Accor旗下，现独立）","100+名员工/覆盖22国/支持20种语言/服务约5,000家独立酒店（欧亚市场）/提供CRS/渠道管理/预订引擎/数字营销全套方案/2017年从Accor独立"
"Amadeus IT Group","旅游IT/GDS","西班牙马德里","约21,600名员工(2024)/年营收约61亿€(2024)/航空分销4.71亿次booking/旅客登机21.66亿次/覆盖190+市场/100+全球办公室/R&D投入约13.65亿€"
"Reservit","法国酒店预订系统","法国","法国本土酒店预订/渠道管理软件供应商/专注法国独立酒店及小型连锁/员工估计30-100人/具体财务数据未公开披露"
"Apaleo","酒店PMS（API优先）","德国慕尼黑","约100-150名员工/2017年成立/API-first云端PMS/专注科技型连锁和设计感物业/覆盖欧洲+北美/无大额融资披露/专注高成长科技酒店客群"
"Infor Hospitality","酒店管理软件","美国纽约（Infor总部）","Infor集团约17,000名员工/集团年营收约30亿美元/Koch Industries旗下/Infor HMS(酒店管理系统)服务数千家酒店/以大型连锁和度假村为主要客户"
"Medialog","法国酒店PMS","法国","法国本土PMS/专注小型酒店及餐饮住宿/员工估计20-60人/具体财务数据未公开披露/为法国独立酒店常用本地系统之一"
"Accor","国际酒管连锁","法国巴黎","330,000名员工/110国/5,682家酒店/85万间客房/2024年营收约56亿€/40+品牌矩阵/1亿+会员(ALL计划)/2024招聘11万+人"
"B&B Hotels","经济型连锁","法国巴黎","约20,000名员工/17国/900家酒店(2025)/8.2万间客房/年营收估计约10-12亿€/法国及欧洲经济型连锁"
"Louvre Hotels Group","多品牌连锁","法国普托（巴黎西郊）","锦江国际(Jin Jiang)旗下/1750+家酒店/70国/15.6万+间客房/品牌含Campanile/Kyriad/Golden Tulip等/锦江为全球第2大酒店集团"
"Brit Hotel","法国本土加盟连锁","法国雷恩","约290家酒店/全法覆盖/加盟商为主/规模估计约5,000-8,000名员工/聚焦法国中端商旅市场"
"Oceania Hotels","法国精品区域连锁","法国南特","约25家酒店（主要分布在法国西部和中部）/独立家族企业/员工约1,000-2,000人/4-5星定位"
"Logis Hotels","法国独立酒店联盟","法国巴黎","成员酒店约1,665-1,980家（法国）/全欧洲约2,000家/成立1948年/加盟模式/酒店主独立经营/Logis总部约50-80人/专注法国农村及小城镇市场"
"Honotel","酒店资产管理/委托经营","法国巴黎","约100名专业员工/管理资产组合覆盖法国30+酒店/专注委托管理(asset-light)/非连锁品牌/高端精品酒店管理"
"Atypio Hotel Expérience","酒店顾问/商务开发","法国巴黎","约40名专业员工/EHL+Deloitte背景联创/专注B2B商务拓展及酒店顾问服务"
"somnOO","精品生态酒店运营","法国","小规模精品品牌/约20-40名员工/专注可持续性生态住宿/创始团队50年+行业经验"
"WiZiU（Covivio旗下品牌）","酒店品牌/运营（地产背景）","法国巴黎（Covivio集团）","Covivio集团约1,000名员工(覆盖地产+酒店)/集团资产约230亿€/WiZiU为Covivio酒店板块品牌/法国+意大利+德国主要城市布局"
"Trilogy Hospitality","高端酒店管理顾问","法国巴黎","约15-30名核心团队/四位联创均20年+高端酒管经验/精英精品顾问机构"
"The Originals Hotels","法国独立酒店联盟","法国克莱蒙费朗","约500家成员酒店（法国为主+部分欧洲）/总部约150-200名专业员工/非加盟连锁/保留独立经营个性/主打人性化体验"
"Park4Night","社区内容+露营OTA","法国圣佩雷","约25名核心员工/全球14M下载/40万付费用户/覆盖欧洲+北美/7万+法国点位/2011年成立"
"Toocamp","露营比较器（宣布关闭/仍运营）","法国（Webedia旗下）","涉及约30名员工/曾覆盖6000+营地/月访50-60万/Webedia已宣布关闭计划但网站仍在运营"
"campings.com","欧洲露营OTA","法国巴黎","130名+员工/欧洲10国/4500+营地合作/年GMV约2亿€(2022/23)/年访问2200万/年预订100万+/法国科技独角兽候选(French Tech 120)"
"Pitchup","欧洲露营OTA","英国伦敦","约50-100名员工/67国/6000+营地/年访3800万/累计GMV约5亿英镑/FT长期增长冠军(英国第22名)"
"Yelloh","高端露营特许经营","法国加尔省","101营地(法/西/葡)/5000+全职员工/4.6M客/年营收3亿€(2024)/25年品牌"
"Huttopia","生态自营露营","法国罗讷省","152营地/8国/700常设员工+2000夏季/4.2M宾夜/年营收1.85亿€(2024)"
"Kombo","多式联运票务平台","法国圣旺（巴黎北）","约41名员工/2016年成立(前身SoBus)/融资约100万美元/覆盖欧洲400+交通运营商票务API/VC支持"
"Rail Europe","欧洲火车票B2B分销","法国巴黎（2022年独立，前SNCF旗下）","总部巴黎/合作60+欧洲铁路运营商/覆盖200+铁路系统/全球B2B合作超10,000家旅行社/2/3收入来自B2B渠道/2022年被Hivest Capital+Bpifrance收购独立运营"
"Trainpal","火车票OTA（APP）","英国伦敦（Trip.com旗下）","约151名员工(2021)/Trip.com集团子品牌/覆盖英国+欧洲主要市场/主打分票(Split ticketing)省钱功能/iOS+Android双端"
"Trainline","欧洲最大独立火车票平台","英国伦敦（上市公司LSE:TRN）","约1,000名员工/FY2024净票务销售额53亿英镑(+22%)/年营收约4亿英镑/覆盖欧洲多国/欧洲下载量最多的铁路App/合作270+铁路及客车运营商"
"Omio","多式联运OTA","德国柏林","400+名员工/年ticket销售额10亿美元+(2024)/融资累计约6亿美元/年访客9亿/覆盖39国/日售8万张票/2024年EBITDA盈利/扩张至东南亚"
"SNCF","法国国家铁路","法国拉普兰圣德尼","290,000名员工(全球/217,000在法国)/2024年营收约434亿€/每日运送旅客1500万+/投资约108亿€(2024)/服务320+运营机构/旗下GEODIS(170国物流)+Keolis(公共交通)"
"Liligo","机票/火车比价器","法国巴黎（Liligo.com/lastminute.com集团旗下）","约50-100名员工/法国及欧洲主要比价平台/比较数百家航司和旅行社/无独立上市/属lastminute.com生态/用户以法语市场为主"
"Rome2rio","多式联运搜索引擎","澳大利亚墨尔本（现Omio集团旗下）","约103名员工/估计年营收约1500万美元/覆盖全球/多式联运门到门搜索(飞机/火车/客车/渡轮/驾车)/已被Omio集团收购"
"RAIL MARKET","铁路分销平台","欧洲（具体未披露）","新兴铁路内容分销平台/具体规模和财务数据未公开披露/专注铁路票务B2B分销和API连接"
